m,ef_construct,parallel_search,ef_search,dataset,dataset_size,qdrant_total_time,milvus_total_time,qdrant_mean_time,milvus_mean_time,qdrant_mean_precisions,milvus_mean_precisions,qdrant_std_time,milvus_std_time,qdrant_min_time,milvus_min_time,qdrant_max_time,milvus_max_time,qdrant_rps,milvus_rps,qdrant_p95_time,milvus_p95_time,qdrant_p99_time,milvus_p99_time
16,128,1,128,h-and-m-2048-angular-filters,0,72.03640180000366,50.03351329999714,0.006341899480027496,0.0040938566299701055,0.999936,0.996524,0.002102180153060645,0.0020919792201448523,0.0015790000034030527,0.001969099997950252,0.017287700000451878,0.05605180000566179,138.81870485096178,199.86603659112964,0.010324704999220554,0.007024809997528791,0.012086920002038823,0.010685241999599394
16,128,1,128,h-and-m-2048-angular-no-filters,0,54.07853110000724,77.5565693000026,0.004428735539976333,0.00642276753995975,0.99941,0.99915,0.0005440075332228522,0.003055641156796546,0.002995800008648075,0.0036848000017926097,0.008895499995560385,0.09081949999381322,184.91626522745293,128.93814270353067,0.005286325002089143,0.013110804998723325,0.005791303005389636,0.014860133995680374
16,128,1,128,random-match-keyword-100-angular-filters,0,21.066150700000435,55.287355299999945,0.002002183799996419,0.005325040299999534,1.0,0.5583590000000002,0.00045970898326646935,0.0012793220648712076,0.0010404000004200498,0.001965300000051684,0.007833300000129384,0.024899699999991753,474.6951705799671,180.87318421613867,0.002623705000132759,0.007600959999950873,0.0029252000003907597,0.009244930999954028
16,128,1,128,random-match-keyword-100-angular-no-filters,0,32.49217479999788,33.313639399999374,0.0031334388299816057,0.0031811966399957784,0.6980400000000001,0.43378999999999995,0.00021662731370298863,0.0006259342691962983,0.0026360999981989153,0.002322499999536376,0.006016100000124425,0.0481552000001102,307.7664102681317,300.17735018168526,0.0034802200008925864,0.00391099999983453,0.0037801200027024633,0.004656313999630584
16,128,1,256,h-and-m-2048-angular-filters,0,76.71683119999943,52.76067380000313,0.006796234849963366,0.004367749500036734,0.999976,0.997552,0.002702580353333605,0.0026058087077752002,0.0015079000004334375,0.001924299998790957,0.020186900001135655,0.05522059999930207,130.34949232887598,189.53510787042688,0.012269905004359313,0.007624560001568169,0.014805038998892997,0.013541677003013388
16,128,1,256,h-and-m-2048-angular-no-filters,0,65.20370969999931,79.762773500006,0.005508787210000446,0.006720836130031967,0.99971,0.99926,0.0008339506076922556,0.003943663307728198,0.0033793000038713217,0.0031856999994488433,0.01059930000337772,0.06079330000648042,153.36550705488628,125.37176882395202,0.006797299996833317,0.01559666000175639,0.007365841003775132,0.019495879998503374
16,128,1,256,random-match-keyword-100-angular-filters,0,21.695907200000875,59.57325739999999,0.0020638021100050537,0.005714649600000485,1.0,0.5583590000000002,0.0005052604216305562,0.002836593132112937,0.0011207000006834278,0.001984600000014325,0.007056700000248384,0.07821769999998196,460.91642574870514,167.86055415529455,0.0027622599997812348,0.009806509999970103,0.0032656289995429714,0.010981982000046174
16,128,1,256,random-match-keyword-100-angular-no-filters,0,40.5305354000011,38.57510600000023,0.003930452820012215,0.0037060749000000213,0.8161800000000001,0.5646800000000001,0.00022684180667183678,0.00072308851790861,0.0034582000007503666,0.002835100000083912,0.006730599998263642,0.0575340999994296,246.72755741587684,259.2345436458409,0.004280229998948925,0.004451720000542991,0.004722970000329955,0.005288222000144745
16,128,1,512,h-and-m-2048-angular-filters,0,83.55668159999914,61.81346900000062,0.007452717829972244,0.005269612350023817,0.999984,0.9981,0.003679679099074914,0.004826748848057971,0.0016889999969862401,0.0019449999963399023,0.10724940000363858,0.06788110000343295,119.67923819511884,161.7770392404267,0.015059575000850598,0.0125283200013655,0.018347435000541736,0.025754714003560376
16,128,1,512,h-and-m-2048-angular-no-filters,0,84.28134260000661,100.47355859999516,0.007379594329898828,0.008573151790044357,0.99976,0.99945,0.0013867520122718654,0.004583711884674021,0.0041766999929677695,0.003093100000114646,0.018631099999765866,0.049271700001554564,118.65022188195678,99.52867340761713,0.009514914997271261,0.017164500000944827,0.010987545990792569,0.019861115999956387
16,128,1,512,random-match-keyword-100-angular-filters,0,21.19250439999996,92.94761570000003,0.0020149955200162366,0.008909472429999699,1.0,0.5583590000000002,0.0004568015990976804,0.0025170805899086806,0.0011413000011089025,0.00418149999995876,0.006641799998760689,0.09016929999995682,471.8649486277808,107.58748274163634,0.0026415149993226804,0.010273210000030985,0.0029362020004737133,0.014412305000037125
16,128,1,512,random-match-keyword-100-angular-no-filters,0,55.6362326999988,46.16290819999995,0.0054323068200163105,0.00446885266000263,0.89881,0.6960599999999999,0.0003185574552266308,0.0005633233074175905,0.004759699997521238,0.0036823000000367756,0.010093400000187103,0.010579799999504758,179.73898509487353,216.62413374554274,0.005882304999977351,0.005460424999728274,0.006747371000965363,0.006181727000521278
16,128,1,64,h-and-m-2048-angular-filters,0,68.84268680000241,,0.0060263142699899614,,0.9998239999999999,,0.0016457919955209653,,0.001539900003990624,,0.020709599994006567,,145.25871177938467,,0.008713914994950753,,0.009780025000291062,
16,128,1,64,h-and-m-2048-angular-no-filters,0,46.0474930999917,,0.003673076379885606,,0.99854,,0.00040727614664195594,,0.00267730001360178,,0.01597169999149628,,217.16708829914137,,0.004273724990343907,,0.004675415006786352,
16,128,1,64,random-match-keyword-100-angular-filters,0,21.120569500000784,,0.0020083680299991104,,1.0,,0.00046592446119098237,,0.0011438000001362525,,0.012545399998998619,,473.47208132809243,,0.002630035000856878,,0.002915107999888278,
16,128,1,64,random-match-keyword-100-angular-no-filters,0,26.823199599999498,,0.0025725850800128684,,0.5633799999999999,,0.00028404260603098985,,0.002057400000921916,,0.01839279999694554,,372.81160149142636,,0.002952345001176581,,0.0032884439992994893,
16,128,100,128,h-and-m-2048-angular-filters,0,33.21208160000242,20.515659999997297,0.016150913659994694,0.007452637409983436,0.999936,0.9959680000000001,0.0052462008514673015,0.004221850686557238,0.0031253999986802228,0.002625899993290659,0.04359060000570025,0.06571200000325916,301.095249627451,487.43252715249315,0.025407125001584062,0.013890210000681672,0.030132984999436306,0.0227387759996782
16,128,100,128,h-and-m-2048-angular-no-filters,0,26.737227600009646,19.42363689999911,0.00982390651992173,0.0052692714899894785,0.99941,0.9981899999999999,0.004506624399472882,0.0008571095373781423,0.004291200006264262,0.003222999999707099,0.0669641000131378,0.03946169999835547,374.0103555088259,514.8366421532755,0.019171909998840417,0.006585709993669297,0.02278258799997276,0.0075442460015619885
16,128,100,128,random-match-keyword-100-angular-filters,0,6.327012100000502,21.520773400000053,0.0047426740599956245,0.013443463159999681,1.0,0.5583590000000002,0.0014301742070569091,0.008029366577041864,0.001996700000745477,0.004313000000024658,0.035100200000670156,0.12501109999993787,1580.5248736602236,464.6673153484333,0.0069428149989107625,0.023907834999920392,0.007914913001186505,0.052895312999989993
16,128,100,128,random-match-keyword-100-angular-no-filters,0,13.326424800001405,9.702307499999733,0.01023203258999456,0.00738182367999434,0.6980400000000001,0.5111899999999999,0.0020910569190632517,0.002515250056035469,0.0055371999987983145,0.00399939999988419,0.057200699997338234,0.06183540000074572,750.3888064560981,1030.6826494625402,0.012771315000100003,0.00999050499972327,0.016207015998297727,0.012426871999959987
16,128,100,256,h-and-m-2048-angular-filters,0,36.05262760000187,23.309441800003697,0.019685585849975904,0.008662740099994699,0.999976,0.9973920000000001,0.007754481867822115,0.0052670561101087745,0.0031205999985104427,0.002927499997895211,0.059106600005179644,0.07281449999572942,277.3722933858913,429.0107024355433,0.034249774997806515,0.016155940002136045,0.04209921099922213,0.02894567999333959
16,128,100,256,h-and-m-2048-angular-no-filters,0,36.67530679999618,21.551324000000022,0.024495119080076982,0.00676977790003366,0.99971,0.9991399999999999,0.006114385556106831,0.0012771805404524293,0.005719599997974001,0.00369920000230195,0.06207120000908617,0.02399639999930514,272.66302241269983,464.0086149695485,0.03240551000853884,0.008869730001242712,0.03650034398975549,0.010750197999732345
