m,ef_construct,parallel_search,ef_search,dataset,dataset_size,qdrant_total_time,milvus_total_time,qdrant_mean_time,milvus_mean_time,qdrant_mean_precisions,milvus_mean_precisions,qdrant_std_time,milvus_std_time,qdrant_min_time,milvus_min_time,qdrant_max_time,milvus_max_time,qdrant_rps,milvus_rps,qdrant_p95_time,milvus_p95_time,qdrant_p99_time,milvus_p99_time
16,128,1,128,gist-960-euclidean,0,5.796349700000064,13.171725100000003,0.005663824599997042,0.012828484100001106,0.92829,0.8944500000000001,0.0006570147382575636,0.005655861273534697,0.003673299999718438,0.0053013000001556065,0.009392399999796908,0.15935160000003634,172.52237214051956,75.92019970110064,0.006618895000201518,0.01575056499996208,0.007779584999848338,0.01826598000013973
16,128,1,128,glove-100-angular,0,39.09037250000074,34.42938559999993,0.0038088650200079426,0.0033070702999997365,0.8753690000000001,0.7561899999999999,0.0003001590145560351,0.0010485259543920834,0.002849999998943531,0.0021658999999090156,0.007721399999354617,0.049778300000070885,255.81746502926802,290.4495629454398,0.00429260499886368,0.005094525000038174,0.004621611999173183,0.0062420069999302545
16,128,1,128,glove-25-angular,0,78.92201449999993,28.55834219999815,0.007764394050043484,0.002732546250006999,0.9999959999999999,0.9455600000000001,0.0006462005413385989,0.000982601649910889,0.006548800003656652,0.001960900000995025,0.018026600002485793,0.055789000005461276,126.70735869267514,350.1603815084423,0.008672529999967081,0.0032173150000744497,0.010267081997153586,0.003764508004751406
16,128,1,128,h-and-m-2048-angular-filters,0,72.03640180000366,50.03351329999714,0.006341899480027496,0.0040938566299701055,0.999936,0.996524,0.002102180153060645,0.0020919792201448523,0.0015790000034030527,0.001969099997950252,0.017287700000451878,0.05605180000566179,138.81870485096178,199.86603659112964,0.010324704999220554,0.007024809997528791,0.012086920002038823,0.010685241999599394
16,128,1,128,h-and-m-2048-angular-no-filters,0,54.07853110000724,77.5565693000026,0.004428735539976333,0.00642276753995975,0.99941,0.99915,0.0005440075332228522,0.003055641156796546,0.002995800008648075,0.0036848000017926097,0.008895499995560385,0.09081949999381322,184.91626522745293,128.93814270353067,0.005286325002089143,0.013110804998723325,0.005791303005389636,0.014860133995680374
16,128,1,128,laion-small-clip,0,19.311719999997877,35.14791379100643,0.00360668009276269,0.0065960012655938045,0.99634,0.8674,0.0009854049031502712,0.0058470494481517475,0.0016939579945756122,0.001612583000678569,0.019989624997833744,0.08625933299481403,258.9101333283907,142.25595378805636,0.005323131255136105,0.019436058645078448,0.00655927375308238,0.022441048006003262
16,128,1,128,random-100-euclidean,0,0.016306299999996554,0.028126199999974233,0.001449810000008256,0.0025891999999771544,1.0,1.0,0.0010935194397030733,0.0026074287200000194,0.0009104000000661472,0.0015334999999367938,0.0046974000001682725,0.010387699999910183,613.2599056807561,355.5403858327524,0.0032034450000878643,0.006731899999931548,0.004398609000152192,0.009656539999914459
16,128,1,128,random-match-keyword-100-angular-filters,0,21.066150700000435,55.287355299999945,0.002002183799996419,0.005325040299999534,1.0,0.5583590000000002,0.00045970898326646935,0.0012793220648712076,0.0010404000004200498,0.001965300000051684,0.007833300000129384,0.024899699999991753,474.6951705799671,180.87318421613867,0.002623705000132759,0.007600959999950873,0.0029252000003907597,0.009244930999954028
16,128,1,128,random-match-keyword-100-angular-no-filters,0,32.49217479999788,33.313639399999374,0.0031334388299816057,0.0031811966399957784,0.6980400000000001,0.43378999999999995,0.00021662731370298863,0.0006259342691962983,0.0026360999981989153,0.002322499999536376,0.006016100000124425,0.0481552000001102,307.7664102681317,300.17735018168526,0.0034802200008925864,0.00391099999983453,0.0037801200027024633,0.004656313999630584
16,128,1,256,gist-960-euclidean,0,7.436909799999739,15.98048289999997,0.0072979482999976425,0.015633785799998804,0.9679000000000001,0.94851,0.0009659905283783279,0.002802162089559491,0.004106200000023819,0.00766099999987091,0.012934400000176538,0.03335430000015549,134.46445188834144,62.57633178281502,0.008543105000057949,0.0202550549999728,0.009646800999839797,0.02342516099985005
